original_path,local_path,sha256,classification,purpose,retention_reason,ignore_rule
local-only infrastructure,.pytest_tmp_reorg_focus_failures/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_full/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_full_after_runner_rebase/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_full_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_placer_first_pass/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_placer_full/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_remaining_component_placer/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_runner_groups/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_runner_groups2/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_runner_smoke/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_reorg_validation/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_placer_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_properties_20260716/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_properties_exe/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_properties_exe_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_properties_final/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.pytest_tmp_value_properties_final2/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.test-install/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,.venv/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,build/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,out/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
local-only infrastructure,proteusgen.egg-info/,DIRECTORY_NOT_HASHED,Reproducible local infrastructure,"local virtual environment, cache, build output, or package metadata",recursively retained on disk and explicitly excluded from Git,precise root .gitignore directory rule
examples/Project Backups/circuit_output (1) [Autosaved].pdsprj,examples/Project Backups/circuit_output (1) [Autosaved].pdsprj,95ac4d1442f08f900cf6bf56815f6ef0996ed760c9cdb6b4ed7df1f979fb485d,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
examples/circuit_output (1).pdsprj.M_TAHABINZAEEM.tahab.workspace,examples/circuit_output (1).pdsprj.M_TAHABINZAEEM.tahab.workspace,360bda6b928c61da82fc6a0f67572897844530282075b16c3a9619f156d9f240,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
examples/circuit_output (2).pdsprj.M_TAHABINZAEEM.tahab.workspace,examples/circuit_output (2).pdsprj.M_TAHABINZAEEM.tahab.workspace,3184883615fc92557ef120eb2ad234a524f6dce2340224cd247853366229f60f,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
examples/circuit_output (3).pdsprj.M_TAHABINZAEEM.tahab.workspace,examples/circuit_output (3).pdsprj.M_TAHABINZAEEM.tahab.workspace,26d012357f5a445eaecac3bec6f9655bd373819aad045a99ae64d3a9ad4e6b26,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
examples/circuit_output (4).pdsprj.M_TAHABINZAEEM.tahab.workspace,examples/circuit_output (4).pdsprj.M_TAHABINZAEEM.tahab.workspace,8f05d85ca4982799e7a4e34064247ed9fa9b92ac17e3c76e864a4fc1f15b07fe,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
examples/circuit_output.pdsprj.M_TAHABINZAEEM.tahab.workspace,examples/circuit_output.pdsprj.M_TAHABINZAEEM.tahab.workspace,8f05d85ca4982799e7a4e34064247ed9fa9b92ac17e3c76e864a4fc1f15b07fe,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/74hc266/IC_74HC266_M02_ALL4_IO.pdsprj.Vincero.Empty.workspace,71fcccd5b12f8797fe91898227bd238322591448261606cb182b496f560a8bc1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/ALL_donorACCEPTED_TERMINALIZED_CURRENT_GROUP_TERMINALIZED_1X_sa.pdsprj.Vincero.Empty.workspace,e6f5548aacb41d34798b02162816178d8c7a7b740dd414e464fc663fa2831f02,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/combined/ALLL_ICS_ALL4.pdsprj.M_TAHABINZAEEM.tahab.workspace,c668466f212f9b4747898f842e0f6e702c25960e39001ddc621c74fa1fd933e4,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
proteus_ic/donors/manual_downloads_20260611/New folder (9)/4_alot of ics.pdsprj.M_TAHABINZAEEM.tahab.workspace,proteus/active/evidence/donors/manual_downloads_20260611/New folder (9)/4_alot of ics.pdsprj.M_TAHABINZAEEM.tahab.workspace,82487de3fd36462c053339f2e732b44cec6e4c18d7a3af5103c9332459a88894,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260611/New folder (9)/Clock_TimeZone3_PATCHED_TO_8_13.pdsprj.M_TAHABINZAEEM.tahab.workspace,5d00379d27bf957dc29e052cbc9925eb2acc903030dc36cb79be01dae110e539,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260611/squence/2_74HC160.pdsprj.M_TAHABINZAEEM.tahab.workspace,114111b3c3e8715db22303beb33e6ed44b47d2a85c3d0a071dfd9a03da45e5f7,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
proteus_ic/donors/manual_downloads_20260611/squence/4020.pdsprj.M_TAHABINZAEEM.tahab.workspace,proteus/active/evidence/donors/manual_downloads_20260611/squence/4020.pdsprj.M_TAHABINZAEEM.tahab.workspace,1108304c905a29c40766e5c09ac6d51f8688d418ef510b2fa4c21c0efef77c6d,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260611/squence/4_74HC192.pdsprj.M_TAHABINZAEEM.tahab.workspace,081c6641c033c7c2054d3b08bf855f4c9b62fe3e5b5768e8d58f3fe6cf07f1e2,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260611/squence/4_74HC193.pdsprj.M_TAHABINZAEEM.tahab.workspace,906e4cdb236532abec23e4d535bd60d3243fe601f53b560d53066651496c93a7,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/4027/2_4027.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/4027/6_4027_WITHallCOMBUNATIONAL_21RLC.pdsprj.M_TAHABINZAEEM.tahab.workspace,30038876a54c8b50772b650a1f79669a542d438ecedf252ee92676b8dafa7dc5,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/7447/4x74HC47.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/7490/4_7490.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/7490/Project Backups/2_7490_with74HC00 [Autosaved].pdsprj,08aae5127a0ccb5ccb71bb42fdf106c8bd1ec53bb7d89199f758b3981cf080e2,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74HC283/4_74HC283.pdsprj.M_TAHABINZAEEM.tahab.workspace,16e6a04407d798c2aa461f26eb94a020952a3a5ac387e715e0c8076aff391842,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74HC85/4_74HC85.pdsprj.M_TAHABINZAEEM.tahab.workspace,702f29eb87dad3b9aee79409c3379b5e2705f8ca90f4d15d7cd3eb4ee96b6042,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc157/4_74HC157.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc174/4_74HC174.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc174/6_74HC174_ALLCOMBINATIONAL_21RLC.pdsprj.M_TAHABINZAEEM.tahab.workspace,8e8cd90b5f20b37a733413f4f44611314b39d53e706b76651e51b00996df31e1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc74/2_74HC74_with74hc86.pdsprj.M_TAHABINZAEEM.tahab.workspace,cc17ae13f3329202750638333e74666e7691d2a4389bf74063bc5581d3c6c0b4,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc74/4_74HC74.pdsprj.M_TAHABINZAEEM.tahab.workspace,8ef2638d1a031fc5742b512201eaa3c20aba7cf02a201338e8fc732032bd089f,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc74/6_74HC74_withallcombunational_and21RLC.pdsprj.M_TAHABINZAEEM.tahab.workspace,a6198e1921c0eea5022f39240ac737d8305036c50e38d83159b4f3c76bae9f9c,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc76/4_74HC76.pdsprj.M_TAHABINZAEEM.tahab.workspace,f260bf70d7f58afb47c08ef7ca7bec7a623272fcafa93de8c015ba336586b4ea,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc76/6_74HC76_WITHallCOMBINATIONAL_21RLC.pdsprj.M_TAHABINZAEEM.tahab.workspace,32854ee9a3448d53a009fea660109f9e739f26833ee305d171c8aa397d554968,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260612/ICcombinationfinal/74hc76/Project Backups/2_74HC76_74HC266 [Autosaved].pdsprj,e8fb4d539985f065365e0077f4df69c84f134fd48cf407ee0a6232f48b826b73,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_5x_mega [20260618, 15-47-35].pdsprj",c50fe16e746e2a3f3c0a61d7b287bd83fb4f110ce8a21e76a04dc77c261d5082,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [20260618, 15-42-53].pdsprj",2f632c6382450ba2b6fea094032f859fa93609ad89a2078b5e163d101a16135e,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [20260618, 15-42-54].pdsprj",f92b147abf657d1d3be3f461d8577f3613aa9857bfaf8fb765669de306aa7295,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [20260618, 15-46-22].pdsprj",3ac7d0d3c90295765ea8bd6d157ee9cfe86182ca4b9111333829a26f546d4858,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [20260618, 15-46-23].pdsprj",9e1013c623ddd21f99a6d42bf89e509138434f88255ec75b3f6bcc1e62357735,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,"proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [20260618, 15-46-24].pdsprj",bd723144368126f2b934e0392fe5c65829c398d9b310765c1eb3851f5b429bbe,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/Project Backups/new_components_single_mega [Autosaved].pdsprj,ba5d710a5577336c96776924477355933e67b776907677523d62b1fd5ffdb866,Proteus application backup,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",**/Project Backups/
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/new_components_5x_mega.pdsprj.M_TAHABINZAEEM.tahab.workspace,8e0a3fc36cfd2d8ef5700a97211117a93d003786ae31d0286300d1e2f847d08a,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/new_components_5x_mega.pdsprj.Vincero.Empty.workspace,61dbb5c75794cda544eb35ae40515c6e6fb6959611526f7998cbcbdf594e9280,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/new_components_single_mega.pdsprj.M_TAHABINZAEEM.tahab.workspace,8a11079f3d94ca8cf1b68024f11d18074aa338d0626327aa2d4684faac85ebe3,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/manual_downloads_20260618/new_component_mega/new_components_single_mega.pdsprj.Vincero.Empty.workspace,97df198bf6368c172ece35ab8b656c9653c88c6281f8698376a5e672a6ed05f3,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil14_dual_d_ff/74HC74/74HC74_terminalized_primary.pdsprj.Vincero.Empty.workspace,71fcccd5b12f8797fe91898227bd238322591448261606cb182b496f560a8bc1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil14_hex_inverter/74HC04/E04_74HC04_1X_NO_TERMINAL_CONTROL.pdsprj.Vincero.Empty.workspace,71fcccd5b12f8797fe91898227bd238322591448261606cb182b496f560a8bc1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil14_quad_2input_logic/74HC00/74HC00_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,80a4eae92d1318b3d95c57297eee37d3505775a1dcd8b8bfc8e9f313e258aa4f,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil14_quad_2input_logic/74HC266/74HC266_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,71fcccd5b12f8797fe91898227bd238322591448261606cb182b496f560a8bc1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil14_quad_2input_logic/74HC86/74HC86_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,2935a0aeb1ee1ffb6345388fb259da18c5922c7a4ab876c4001decb9542c1437,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/dil16_arithmetic_compare/74HC283/74HC283_terminalized_primary.pdsprj.Vincero.Empty.workspace,7ba2e51887284b148825eef742b1bb2d90f716acc23869ae6b0655b584f94554,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/four_pin_rectifier_transformer/TRAN-2P2S/TRAN-2P2S_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,71fcccd5b12f8797fe91898227bd238322591448261606cb182b496f560a8bc1,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/three_pin_regulator_control_symbol/LM317T/LM317T_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,c79ac5969d52261031fcbdc3666964f808cb11f8af6a88e5a5d89d161e627be0,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/three_pin_regulator_control_symbol/OPAMP/OPAMP_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,ef8ce2d9a00bf7aa413fe43f6d2d756324fbd611bf29f0c04553607095b04208,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/three_pin_regulator_control_symbol/POT-HG/POT-HG_user_terminalized_july04.pdsprj.Vincero.Empty.workspace,3703ddbfbe3341ed17e28c903f79a82432ce4054cee12931e58dbed7a633a1cf,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
new during reorganization,proteus/active/evidence/donors/terminalized_catalogue_evidence/three_pin_transistor/NPN/NPN_terminalized_primary.pdsprj.Vincero.Empty.workspace,3f89430aa53861e1f56bb033456f0de7379e33f6ba1cafa28e117bef8ea330ce,Proteus workspace sidecar,local-only reproducible infrastructure or disposable Proteus state,"preserved on disk, explicitly excluded from Git",*.workspace
